"created_utc","gross","fee","net"
"2020-04-30 22:04:04","12.95","0.68","12.27"
"2020-04-30 22:29:26","12.95","0.68","12.27"
"2020-04-30 22:38:10","12.95","0.68","12.27"
"2020-04-30 22:39:37","12.95","0.68","12.27"
"2020-04-30 22:45:46","12.95","0.68","12.27"
"2020-04-30 23:19:17","12.95","0.68","12.27"
"2020-04-30 23:23:51","12.95","0.68","12.27"
"2020-05-01 00:10:25","12.95","0.68","12.27"
"2020-05-01 00:33:28","12.95","0.68","12.27"
"2020-05-01 00:46:06","12.95","0.68","12.27"
"2020-05-01 01:15:34","12.95","0.68","12.27"
"2020-05-01 01:33:41","12.95","0.68","12.27"
"2020-05-01 02:56:13","28.94","1.14","27.80"
"2020-05-01 03:14:12","12.95","0.68","12.27"
"2020-05-01 04:29:38","12.95","0.68","12.27"
"2020-05-01 05:41:00","12.95","0.68","12.27"
"2020-05-01 07:31:33","12.95","0.68","12.27"
"2020-05-01 08:51:45","30.90","1.20","29.70"
"2020-05-01 10:59:04","12.95","0.68","12.27"
"2020-05-01 11:28:53","12.95","0.68","12.27"
"2020-05-01 11:54:27","12.95","0.68","12.27"
"2020-05-01 12:30:46","12.95","0.68","12.27"
"2020-05-01 12:52:11","12.95","0.68","12.27"
"2020-05-01 12:53:21","17.22","0.80","16.42"
"2020-05-01 13:03:08","12.95","0.68","12.27"
"2020-05-01 13:04:17","12.95","0.68","12.27"
"2020-05-01 13:05:59","12.95","0.68","12.27"
"2020-05-01 13:18:34","12.95","0.68","12.27"
"2020-05-01 13:42:01","12.95","0.68","12.27"
"2020-05-01 13:56:58","12.95","0.68","12.27"
"2020-05-01 14:07:53","12.95","0.68","12.27"
"2020-05-01 15:34:17","12.95","0.68","12.27"
"2020-05-01 15:39:22","12.95","0.68","12.27"
"2020-05-01 15:40:47","12.95","0.68","12.27"
"2020-05-01 15:59:50","12.95","0.68","12.27"
"2020-05-01 16:02:24","12.95","0.68","12.27"
"2020-05-01 16:08:11","12.95","0.68","12.27"
"2020-05-01 16:25:51","12.95","0.68","12.27"
"2020-05-01 16:27:13","12.95","0.68","12.27"
"2020-05-01 16:31:42","19.95","0.88","19.07"
"2020-05-01 16:34:48","12.95","0.68","12.27"
"2020-05-01 16:38:01","12.95","0.68","12.27"
"2020-05-01 16:47:45","12.95","0.68","12.27"
"2020-05-01 16:49:45","12.95","0.68","12.27"
"2020-05-01 17:57:56","12.95","0.68","12.27"
"2020-05-01 18:00:39","17.22","0.80","16.42"
"2020-05-01 18:59:38","12.95","0.68","12.27"
"2020-05-01 19:00:02","12.95","0.68","12.27"
"2020-05-01 19:02:27","12.95","0.68","12.27"
"2020-05-01 19:05:50","16.07","0.77","15.30"
"2020-05-01 19:07:22","12.95","0.68","12.27"
"2020-05-01 19:36:02","12.95","0.68","12.27"
"2020-05-01 19:58:35","12.95","0.68","12.27"
"2020-05-01 20:13:19","12.95","0.68","12.27"
"2020-05-01 20:14:56","12.95","0.68","12.27"
"2020-05-01 20:15:44","12.95","0.68","12.27"
"2020-05-01 20:30:16","-12.95","0.00","-12.95"
"2020-05-01 20:31:25","-12.95","0.00","-12.95"
"2020-05-01 20:31:32","12.95","0.68","12.27"
"2020-05-01 20:49:54","12.95","0.68","12.27"
"2020-05-01 22:20:37","12.95","0.68","12.27"
"2020-05-02 00:15:22","12.95","0.68","12.27"
"2020-05-02 02:29:16","12.95","0.68","12.27"
"2020-05-02 03:12:30","12.95","0.68","12.27"
"2020-05-02 12:35:45","12.95","0.68","12.27"
"2020-05-02 13:23:00","12.95","0.68","12.27"
"2020-05-02 14:15:00","12.95","0.68","12.27"
"2020-05-02 14:23:16","12.95","0.68","12.27"
"2020-05-02 16:10:44","12.95","0.68","12.27"
"2020-05-02 16:32:21","12.95","0.68","12.27"
"2020-05-02 17:25:38","12.95","0.68","12.27"
"2020-05-02 18:47:58","19.95","0.88","19.07"
"2020-05-02 20:00:04","12.95","0.68","12.27"
"2020-05-02 20:02:50","12.95","0.68","12.27"
"2020-05-02 20:34:32","12.95","0.68","12.27"
